face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces/clip_111_frame_face0_67.png,Black,Black,Female,20-29,"[1.84295345e-02 3.24538350e-01 3.01908076e-01 1.00220394e-04
 9.43913125e-04 2.36500993e-01 1.17578894e-01]",[0.04565385 0.9204826  0.0018913  0.03197237],[4.2191450e-04 9.9957806e-01],"[6.9643995e-08 3.4518767e-04 9.5397696e-02 7.8935111e-01 1.1402394e-01
 8.7718002e-04 4.7208387e-06 5.0428469e-08 7.5230616e-10]"
detected_faces/clip_0_frame_face3_12.png,Black,Black,Male,20-29,"[0.04253446 0.8334079  0.04548647 0.00615207 0.01965152 0.02337973
 0.02938784]",[1.2081786e-01 8.3453929e-01 4.3825503e-02 8.1739377e-04],[0.9442447  0.05575531],"[2.2506567e-03 2.6575975e-02 9.4179645e-02 5.9087324e-01 2.6134077e-01
 2.2906825e-02 1.6994439e-03 1.3124471e-04 4.2311498e-05]"
detected_faces/clip_87_frame_face0_92.png,White,White,Female,10-19,"[0.52019876 0.00058445 0.22323202 0.00902642 0.00830943 0.00137398
 0.23727499]",[9.8636240e-01 7.7719754e-04 1.0226284e-02 2.6341795e-03],[5.9584487e-04 9.9940413e-01],"[7.7342357e-08 5.3644069e-03 8.8385606e-01 1.0897738e-01 1.7925935e-03
 9.4364514e-06 1.8146842e-08 7.0064493e-10 2.8789519e-11]"
detected_faces/clip_15_frame_face1_90.png,White,White,Female,20-29,"[5.9339929e-01 7.2970661e-06 2.2666133e-03 1.3280768e-04 1.7887256e-04
 8.5870770e-04 4.0315646e-01]",[9.9977010e-01 7.3492765e-06 5.1444975e-05 1.7105998e-04],[1.9186577e-04 9.9980813e-01],"[1.0854474e-06 1.5892423e-04 7.4768001e-03 5.1133329e-01 4.3593934e-01
 4.3235283e-02 1.7860065e-03 6.6500557e-05 2.7814679e-06]"
detected_faces/clip_6_frame_face0_25.png,Middle Eastern,White,Male,50-59,"[9.0033419e-02 1.0808549e-04 1.1654163e-01 6.4203638e-04 4.8978650e-04
 1.5350863e-02 7.7683419e-01]",[6.1521655e-01 4.6019538e-04 4.2514252e-03 3.8007179e-01],[9.9996936e-01 3.0619387e-05],"[3.8213557e-06 2.6046066e-06 7.1914023e-05 2.2462504e-04 8.9330152e-03
 1.4092073e-01 6.6235113e-01 1.8497774e-01 2.5144387e-03]"
detected_faces/clip_103_frame_face0_44.png,Middle Eastern,White,Male,40-49,"[1.1622119e-01 1.6271962e-02 2.4833992e-02 6.3963955e-05 1.5172486e-04
 2.9418832e-03 8.3951527e-01]",[9.6272475e-01 3.3466157e-02 3.6489952e-04 3.4441617e-03],[9.9961311e-01 3.8688077e-04],"[1.2748633e-05 1.9524447e-05 1.2623043e-04 1.2617994e-02 2.2804205e-01
 5.6155556e-01 1.9057681e-01 6.7545250e-03 2.9447681e-04]"
detected_faces/clip_8_frame_face0_131.png,Middle Eastern,White,Male,50-59,"[1.3707560e-01 1.3016806e-04 9.8435134e-02 9.9479774e-05 1.8646287e-04
 2.9306842e-02 7.3476630e-01]",[6.4065373e-01 6.2075746e-04 1.1949671e-03 3.5753059e-01],[9.9989027e-01 1.0967955e-04],"[1.8960896e-05 2.2136815e-05 3.2152684e-04 1.4054662e-04 2.3049517e-03
 3.8981840e-02 4.7094491e-01 4.6613666e-01 2.1128422e-02]"
detected_faces/clip_140_frame_face1_3.png,White,White,Male,30-39,"[9.4886297e-01 6.4101530e-04 4.9489061e-03 1.7897265e-03 7.2081172e-04
 9.0560767e-05 4.2945974e-02]",[0.9726095  0.00463545 0.02177036 0.00098468],[9.996207e-01 3.793126e-04],"[1.4552010e-02 6.6649407e-02 1.0477089e-01 2.7887458e-01 4.0180561e-01
 1.2517063e-01 7.8768469e-03 2.8375664e-04 1.6365062e-05]"
detected_faces/clip_57_frame_face0_105.png,White,White,Female,30-39,"[9.97732222e-01 5.46002923e-07 3.62386745e-05 1.47751025e-05
 3.99253304e-06 4.81424422e-07 2.21162150e-03]",[9.9924183e-01 7.8106830e-05 6.7674671e-04 3.2877608e-06],[2.2114388e-04 9.9977887e-01],"[7.7541728e-07 3.8581595e-05 7.7701448e-03 3.5341799e-01 3.6739907e-01
 2.0851249e-01 5.4981522e-02 7.4946261e-03 3.8485663e-04]"
detected_faces/clip_134_frame_face0_122.png,White,White,Male,20-29,"[9.9188387e-01 2.3038223e-05 3.3095240e-04 3.7000911e-05 3.1146825e-05
 1.0894169e-05 7.6831025e-03]",[9.9919999e-01 8.5392210e-05 6.0203706e-04 1.1256813e-04],[9.9922836e-01 7.7161303e-04],"[2.6791657e-05 1.6679342e-03 2.6946628e-02 4.9474883e-01 4.4628790e-01
 3.0005710e-02 3.1007014e-04 5.6079793e-06 4.0332344e-07]"
detected_faces/clip_128_frame_face0_20.png,East Asian,Asian,Male,30-39,"[6.7493223e-02 8.8322951e-05 2.0590493e-02 7.6894331e-01 1.4080828e-01
 5.5958086e-04 1.5167553e-03]",[6.7161210e-02 8.8368433e-05 9.3267268e-01 7.7787256e-05],[9.999906e-01 9.451237e-06],"[4.5235124e-06 1.8681613e-04 4.7021776e-02 2.9656735e-01 5.8093774e-01
 7.1409285e-02 3.7212330e-03 1.4945147e-04 1.8139550e-06]"
detected_faces/clip_96_frame_face1_37.png,White,White,Female,20-29,"[7.6711631e-01 8.6450327e-06 2.6019633e-02 7.3746038e-03 2.0823753e-03
 3.1596940e-04 1.9708247e-01]",[9.1477579e-01 8.2214113e-04 8.3700545e-02 7.0154679e-04],[0.02521919 0.97478086],"[1.2983330e-07 3.3097593e-05 3.6564514e-02 7.5632226e-01 2.0016988e-01
 6.8535735e-03 5.5269029e-05 1.2445317e-06 2.7872268e-08]"
detected_faces/clip_17_frame_face0_24.png,White,White,Female,30-39,"[9.9961519e-01 1.8475550e-08 4.4681623e-05 1.2014952e-07 4.4122544e-07
 1.5293147e-06 3.3793654e-04]",[9.9964201e-01 1.2475864e-05 2.5387944e-04 9.1592628e-05],[1.0035069e-05 9.9998999e-01],"[1.5174543e-08 3.2296377e-06 8.7014848e-04 1.7604691e-01 5.9177530e-01
 2.2042242e-01 1.0761682e-02 1.1886257e-04 1.4481640e-06]"
detected_faces/clip_56_frame_face0_138.png,Middle Eastern,White,Male,50-59,"[1.3707560e-01 1.3016806e-04 9.8435134e-02 9.9479774e-05 1.8646287e-04
 2.9306842e-02 7.3476630e-01]",[6.4065373e-01 6.2075746e-04 1.1949671e-03 3.5753059e-01],[9.9989027e-01 1.0967955e-04],"[1.8960896e-05 2.2136815e-05 3.2152684e-04 1.4054662e-04 2.3049517e-03
 3.8981840e-02 4.7094491e-01 4.6613666e-01 2.1128422e-02]"
detected_faces/clip_55_frame_face0_29.png,Middle Eastern,Indian,Male,50-59,"[4.8078798e-02 1.6250032e-04 8.6607978e-02 1.2693438e-04 2.8021965e-04
 3.3802833e-02 8.3094066e-01]",[0.39356303 0.00095872 0.00248204 0.6029962 ],[9.999312e-01 6.878350e-05],"[1.4037327e-05 1.4371788e-05 2.1219981e-04 1.5126057e-04 3.2517777e-03
 5.6197472e-02 5.3546184e-01 3.9189595e-01 1.2801025e-02]"
detected_faces/clip_94_frame_face0_108.png,East Asian,Asian,Male,30-39,"[6.7493223e-02 8.8322951e-05 2.0590493e-02 7.6894331e-01 1.4080828e-01
 5.5958086e-04 1.5167553e-03]",[6.7161210e-02 8.8368433e-05 9.3267268e-01 7.7787256e-05],[9.999906e-01 9.451237e-06],"[4.5235124e-06 1.8681613e-04 4.7021776e-02 2.9656735e-01 5.8093774e-01
 7.1409285e-02 3.7212330e-03 1.4945147e-04 1.8139550e-06]"
detected_faces/clip_24_frame_face2_1.png,White,White,Male,20-29,"[8.9547634e-01 1.3559641e-04 4.4381879e-03 2.2357446e-03 1.3426736e-03
 1.5326514e-03 9.4838865e-02]",[9.8648846e-01 7.7370484e-04 4.4535524e-03 8.2844142e-03],[9.9998796e-01 1.2028659e-05],"[8.0648448e-08 1.6728022e-06 4.3390971e-03 6.0182381e-01 3.1599548e-01
 6.6646457e-02 1.0214850e-02 9.3197403e-04 4.6567988e-05]"
detected_faces/clip_22_frame_face1_4.png,Black,Black,Male,40-49,"[4.02267347e-07 9.99656916e-01 1.18766395e-04 1.37545314e-07
 1.63128971e-05 2.02674288e-04 4.74097988e-06]",[1.6756392e-05 9.9842829e-01 4.5653206e-04 1.0984914e-03],[1.0000000e+00 2.8195772e-09],"[6.9563875e-08 3.0940711e-07 3.2154279e-05 7.3390175e-03 1.8013974e-01
 6.4337903e-01 1.6739288e-01 1.6932893e-03 2.3519629e-05]"
detected_faces/clip_21_frame_face1_26.png,Black,Black,Male,40-49,"[2.4024777e-07 9.9980849e-01 6.6509776e-05 7.5448511e-08 7.6829901e-06
 1.1426474e-04 2.7788174e-06]",[1.3536282e-05 9.9876976e-01 3.7714324e-04 8.3955022e-04],[1.0000000e+00 4.7355497e-09],"[5.56714639e-08 2.90822072e-07 4.03094164e-05 1.21349739e-02
 2.46475175e-01 6.19394243e-01 1.20842926e-01 1.09599135e-03
 1.59452684e-05]"
detected_faces/clip_18_frame_face0_20.png,Black,Black,Male,30-39,"[2.84260921e-07 9.99446571e-01 4.59473886e-05 1.76869878e-06
 1.15120994e-04 3.81192105e-04 9.12449468e-06]",[3.3785426e-07 9.9980056e-01 2.9915787e-05 1.6925458e-04],[9.9999523e-01 4.7932062e-06],"[1.9348620e-06 8.4380836e-06 3.3818532e-04 4.2661436e-02 4.5540440e-01
 4.4458553e-01 5.5137914e-02 1.7393371e-03 1.2290466e-04]"
detected_faces/clip_24_frame_face0_1.png,Black,Black,Male,50-59,"[3.8850890e-04 9.4329625e-01 6.8921815e-03 3.3528316e-03 3.6555376e-02
 6.4248070e-03 3.0898859e-03]",[0.00128164 0.87755346 0.09391007 0.02725477],[9.999992e-01 7.568565e-07],"[2.4993456e-06 3.7735031e-06 2.3383071e-05 4.0738177e-04 7.1046446e-03
 1.3557272e-01 4.7914773e-01 3.5283715e-01 2.4900714e-02]"
detected_faces/clip_4_frame_face0_21.png,White,White,Male,30-39,"[9.9507755e-01 3.1280063e-06 7.7849400e-05 1.8923242e-07 4.9680301e-07
 1.0067698e-05 4.8307688e-03]",[9.98876393e-01 5.49487559e-05 1.02705926e-04 9.66011838e-04],[9.9998164e-01 1.8360884e-05],"[2.6761766e-08 1.8012248e-07 7.3041752e-05 1.0600904e-01 7.6901400e-01
 1.1899274e-01 5.8562462e-03 5.3394193e-05 1.3824156e-06]"
detected_faces/clip_23_frame_face1_11.png,Black,Black,Male,40-49,"[1.8976789e-07 9.9981892e-01 6.6741042e-05 7.9120646e-08 9.3445442e-06
 1.0258744e-04 2.1590970e-06]",[1.8593370e-05 9.9840367e-01 4.6578440e-04 1.1120047e-03],[1.0000000e+00 5.2477627e-09],"[7.8465384e-08 3.4738159e-07 4.7365611e-05 1.1081077e-02 2.3266502e-01
 6.1722869e-01 1.3761747e-01 1.3387434e-03 2.1133916e-05]"
detected_faces/clip_2_frame_face1_16.png,Black,Black,Male,50-59,"[2.4940630e-03 9.8496521e-01 5.6247128e-04 1.3348371e-04 2.4790101e-04
 6.1724829e-03 5.4242504e-03]",[0.23037343 0.70216185 0.00888875 0.05857596],[9.9979770e-01 2.0228502e-04],"[1.2523986e-05 4.4412689e-05 1.3350218e-04 3.4549069e-03 2.2262463e-02
 9.3373537e-02 4.4329071e-01 3.7990248e-01 5.7525478e-02]"
detected_faces/clip_17_frame_face1_5.png,Black,Black,Male,20-29,"[0.00908725 0.7326478  0.05932083 0.00228733 0.02760552 0.13614088
 0.03291035]",[0.02369702 0.56727326 0.03391298 0.37511677],[9.9999666e-01 3.3198087e-06],"[1.9596605e-06 3.1166350e-05 1.5345848e-02 6.3523960e-01 3.0429590e-01
 4.3850269e-02 1.1866745e-03 4.6950649e-05 1.7052459e-06]"
detected_faces/clip_9_frame_face0_18.png,Middle Eastern,White,Male,50-59,"[4.1068801e-01 6.1181476e-05 1.7457932e-02 7.1346651e-05 1.5580188e-04
 1.8938812e-03 5.6967187e-01]",[0.94330657 0.00183683 0.01216284 0.04269388],[9.9990624e-01 9.3746792e-05],"[1.0429539e-05 5.2455543e-06 1.0011430e-04 4.2412963e-04 1.2309788e-02
 1.6914415e-01 6.8321812e-01 1.3131781e-01 3.4701733e-03]"
detected_faces/clip_28_frame_face2_9.png,Black,Asian,Male,50-59,"[0.00914921 0.6128613  0.04925612 0.04709796 0.24520133 0.01567926
 0.02075492]",[0.00164555 0.17582819 0.8129163  0.00960999],[9.9999917e-01 8.0554963e-07],"[7.7323348e-06 5.9429194e-06 3.7998590e-05 3.3343228e-04 4.8520118e-03
 7.5221300e-02 4.6295327e-01 4.4073918e-01 1.5849143e-02]"
detected_faces/clip_3_frame_face1_24.png,Black,Black,Male,50-59,"[1.1956868e-03 9.9461204e-01 1.6244853e-04 4.5052511e-05 1.3160471e-04
 2.9057530e-03 9.4727660e-04]",[0.0196181  0.9422924  0.00956147 0.02852801],[9.9998099e-01 1.8951885e-05],"[6.7776973e-06 4.4305099e-05 2.7175545e-04 1.2019750e-02 5.0286479e-02
 1.1092801e-01 4.4134781e-01 3.3917370e-01 4.5921449e-02]"
detected_faces/clip_10_frame_face0_7.png,Middle Eastern,White,Female,30-39,"[4.1451010e-01 1.2199096e-06 5.4834178e-03 9.0950543e-06 2.2858303e-05
 4.4549431e-04 5.7952785e-01]",[9.9643332e-01 3.3510354e-05 1.1017797e-04 3.4230824e-03],[6.224738e-07 9.999994e-01],"[1.8358266e-08 3.7741554e-06 1.9914531e-03 3.9679486e-01 5.2927905e-01
 7.0062920e-02 1.8367731e-03 3.0867865e-05 3.0747347e-07]"
detected_faces/clip_28_frame_face0_9.png,White,White,Male,20-29,"[9.0808654e-01 1.5166558e-03 2.6604241e-02 2.2373369e-03 3.1184361e-03
 2.5891687e-04 5.8177982e-02]",[0.9666971  0.01469244 0.01740665 0.00120386],[9.9998039e-01 1.9660905e-05],"[2.9874311e-08 2.4832294e-05 1.6551724e-01 8.2535446e-01 9.0435361e-03
 5.9378843e-05 5.0532157e-07 1.8116939e-08 7.2133888e-10]"
detected_faces/clip_19_frame_face0_28.png,White,White,Male,30-39,"[0.6585299  0.0018314  0.2796128  0.0045661  0.00502904 0.00286355
 0.04756719]",[9.9204814e-01 4.3334629e-04 3.8428984e-03 3.6756592e-03],[9.9999839e-01 1.6148514e-06],"[1.0907269e-06 1.8481045e-05 4.0188227e-03 2.4282779e-01 5.7412976e-01
 1.6964325e-01 9.0615647e-03 2.9349967e-04 5.6541421e-06]"
detected_faces/clip_13_frame_face1_15.png,Black,Black,Male,20-29,"[5.1653734e-03 6.7573345e-01 3.6016095e-02 1.7041697e-04 9.0756139e-04
 2.3035866e-01 5.1648445e-02]",[0.03367611 0.6146848  0.0078675  0.34377152],[0.98211384 0.01788616],"[1.48803898e-04 1.45120779e-02 2.42498279e-01 5.47090650e-01
 1.71355620e-01 2.30688695e-02 1.19499955e-03 1.18089854e-04
 1.26273171e-05]"
detected_faces/clip_5_frame_face0_29.png,White,White,Male,30-39,"[9.9859887e-01 3.4749232e-06 2.7884091e-05 1.9698804e-07 5.3365312e-07
 4.9959635e-06 1.3640411e-03]",[9.9750298e-01 2.1726360e-04 3.9394497e-04 1.8858078e-03],[9.999230e-01 7.696259e-05],"[3.9228045e-08 3.1243920e-07 1.3156245e-04 1.5739168e-01 7.3707718e-01
 9.7580485e-02 7.7360584e-03 7.9989695e-05 2.6254886e-06]"
detected_faces/clip_20_frame_face2_19.png,White,White,Male,30-39,"[0.46986207 0.00246802 0.4380062  0.02471484 0.01704066 0.00274588
 0.04516236]",[0.7271528  0.00378868 0.25842008 0.01063844],[9.9999762e-01 2.3835935e-06],"[1.9752069e-06 2.1841293e-05 3.0871474e-03 1.6882871e-01 5.7928258e-01
 2.3225953e-01 1.5998235e-02 5.1376433e-04 6.1020269e-06]"
detected_faces/clip_24_frame_face1_1.png,White,White,Male,20-29,"[9.0297204e-01 5.3373561e-04 4.3496098e-03 5.3295447e-04 5.7130831e-04
 9.0839698e-05 9.0949520e-02]",[0.8494686  0.01384853 0.13397829 0.00270456],[9.9999648e-01 3.5292644e-06],"[6.0002918e-08 2.8034439e-05 8.0368236e-02 8.9425427e-01 2.5032219e-02
 3.1415746e-04 2.9600908e-06 1.0538295e-07 3.5138470e-09]"
detected_faces/clip_14_frame_face1_25.png,White,White,Male,20-29,"[9.7313124e-01 9.5261371e-04 4.5939875e-03 3.4980332e-03 1.8535958e-03
 1.5507105e-03 1.4419892e-02]",[9.9376446e-01 4.9982558e-04 3.2723292e-03 2.4633382e-03],[0.7853272  0.21467285],"[3.4433720e-04 2.7052872e-03 3.5455965e-02 4.8495325e-01 4.1766202e-01
 4.9895391e-02 7.8152930e-03 9.9013699e-04 1.7828007e-04]"
detected_faces/clip_15_frame_face1_17.png,Black,Black,Male,30-39,"[7.0290745e-04 9.8915654e-01 2.6570521e-03 9.4928946e-05 3.4228191e-04
 1.0129015e-03 6.0333679e-03]",[2.9883542e-04 9.9648911e-01 2.4889603e-03 7.2310690e-04],[9.9996555e-01 3.4434397e-05],"[1.2271246e-06 4.9940692e-05 2.7775366e-03 3.1198296e-01 6.0619271e-01
 7.7514172e-02 1.4413516e-03 3.8537168e-05 1.5960777e-06]"
detected_faces/clip_26_frame_face3_14.png,Latino_Hispanic,Indian,Female,20-29,"[0.26621222 0.0233854  0.42291474 0.03682945 0.04518541 0.0729067
 0.1325661 ]",[0.05303286 0.13420801 0.05645623 0.7563029 ],[0.3305877 0.6694123],"[2.7199402e-03 7.5098485e-02 1.6321328e-01 5.9102374e-01 1.5122834e-01
 1.5336319e-02 9.2558557e-04 3.4986428e-04 1.0445959e-04]"
detected_faces/clip_27_frame_face1_22.png,White,White,Male,20-29,"[9.5312333e-01 4.9293158e-05 7.1677030e-03 5.6488342e-03 2.6835615e-03
 1.8670103e-04 3.1140596e-02]",[0.9901718  0.0012938  0.00709253 0.00144186],[9.9999839e-01 1.6166974e-06],"[3.5131595e-09 7.3298713e-07 1.9972321e-02 9.1392195e-01 6.3962281e-02
 2.0935240e-03 4.7884641e-05 1.3331914e-06 2.2016861e-08]"
detected_faces/clip_22_frame_face0_4.png,White,White,Male,30-39,"[0.46849394 0.00274395 0.4279479  0.03442802 0.04557069 0.00463227
 0.01618321]",[9.7289360e-01 8.2473183e-04 1.0020020e-02 1.6261660e-02],[9.9999857e-01 1.4716577e-06],"[6.73737134e-07 1.72896398e-05 6.17360091e-03 3.65868539e-01
 5.19537210e-01 1.02128215e-01 6.04472682e-03 2.24402858e-04
 5.33014418e-06]"
detected_faces/clip_16_frame_face1_12.png,Black,Black,Male,20-29,"[2.7207190e-02 8.4620744e-01 5.9264626e-02 3.2811539e-04 4.5389365e-03
 3.8674813e-02 2.3778915e-02]",[0.03680472 0.7129899  0.00871677 0.24148855],[9.999901e-01 9.906724e-06],"[4.6045443e-07 7.1829704e-06 3.3133065e-03 5.5670887e-01 4.1219246e-01
 2.7238348e-02 5.2602671e-04 1.2710621e-05 6.5203551e-07]"
detected_faces/clip_26_frame_face1_14.png,Black,Asian,Male,60-69,"[0.00430933 0.6876424  0.03277463 0.03841259 0.20891577 0.01650373
 0.01144155]",[0.00076236 0.44367224 0.5456489  0.0099165 ],[9.9999905e-01 9.3158826e-07],"[1.0302371e-05 9.1312522e-06 3.6218862e-05 2.5072874e-04 3.0928545e-03
 4.9077798e-02 3.6135554e-01 5.5362058e-01 3.2546878e-02]"
detected_faces/clip_28_frame_face1_9.png,White,White,Male,20-29,"[9.46352303e-01 2.97537663e-05 5.35521982e-03 6.71062479e-03
 2.50982190e-03 1.09519184e-04 3.89327928e-02]",[0.9902523  0.00117789 0.00737717 0.00119262],[9.9999887e-01 1.1093473e-06],"[3.2130556e-09 5.0190454e-07 1.3798904e-02 9.0960795e-01 7.3910989e-02
 2.6166826e-03 6.3252024e-05 1.7493206e-06 2.3855883e-08]"
detected_faces/clip_27_frame_face3_22.png,White,Asian,Male,20-29,"[0.81068265 0.00108583 0.0188217  0.04899743 0.02396666 0.00308591
 0.09335986]",[0.3824165  0.03410058 0.56632835 0.01715456],[0.95105666 0.04894336],"[7.9633312e-05 9.0750685e-04 4.1081700e-02 4.6411124e-01 2.9731616e-01
 1.4087796e-01 4.1328389e-02 1.2989146e-02 1.3081708e-03]"
detected_faces/clip_20_frame_face0_19.png,White,White,Male,30-39,"[7.5771743e-01 4.9595273e-04 2.1424139e-01 5.5088797e-03 6.5825693e-03
 1.1484892e-03 1.4305225e-02]",[9.9480581e-01 4.0968953e-04 2.1519915e-03 2.6325444e-03],[9.9999744e-01 2.5926554e-06],"[1.7298578e-06 5.0143961e-05 8.1761451e-03 3.3195081e-01 5.6212169e-01
 9.3249619e-02 4.3568364e-03 9.1082846e-05 1.9838969e-06]"
